id,en,ja,de,fr
1003,gilet and shirt,ジレコーデＴシャツ,Weste mit T-Shirt,t-⁠shirt avec veston
1004,vertical-stripes shirt,オーバーストライプシャツ,Längsstreifenhemd,polo à stries verticales
1005,coverall coat,カバーオール,Herbstkurzmantel,manteau de travail
1006,guayabera shirt,キューバシャツ,Guayabera-Hemd,chemise guayabera
1007,short peacoat,ピーコート,Caban,caban court
1008,collarless shirt,ノーカラーシャツ,Serafino-Hemd,chemise à col mandarin
1009,heavy-duty shirt,ワークシャツ,Arbeitshemd,chemise inusable
1010,bowling shirt,ボウリングシャツ,Kegelshirt,chemise de bowling
1011,V-neck sweater,Ｖネックセーター,V-Ausschnitt-Pulli,pull à col en v
1012,boa fleece,ボアフリース,Fleecejacke,veste en polaire
1013,tweed jacket,ツイードジャケット,Tweedjacke,veste en tweed
1014,layered shirt,かさねぎＴシャツ,Lagenshirt,t-⁠shirt dédoublé
1015,lacy shirt,レースのシャツ,Spitzenshirt,t-⁠shirt en dentelle
1016,chesterfield coat,チェスターコート,Chesterfield,Chesterfield
1017,checkered chesterfield coat,チェックのチェスターコート,Karo-Chesterfield,Chesterfield écossais
1018,oversized shawl overshirt,おおばんストールＴシャツ,Shirt-Schal-Kombi,t-⁠shirt avec grand foulard
1019,young-royal shirt,おうじさまシャツ,Prinzenhemd,chemise princière
1020,fitness tank,フィットネスタンクトップ,Fitness-Top,débardeur de fitness
1021,flight jacket,フライトジャケット,Fliegerjacke,veste d'aviation
1022,tie-dye shirt,タイダイＴシャツ,Schnurbatikshirt,t-⁠shirt spirale tie and dye
1023,fuzzy vest,ボアベスト,Flauschweste,veston en polaire
1024,quilted down jacket,キルティングダウン,Thermo-Steppjacke,doudoune matelassée
1025,peasant blouse,ペザントブラウス,Landhausbluse,blouse campagnarde
1026,tube top,チューブトップ,Bandeau-Top,haut tube
1027,muscle tank,マッスルタンクトップ,Muskelshirt,marcel de muscu
1028,striped tee,はんそでボーダーＴシャツ,Ringelshirt,t-⁠shirt à rayures
1029,puffy vest,ダウンベスト,Thermoweste,gilet molletonné
1030,nylon jacket,コーチジャケット,Nylonjacke,veste en nylon
1031,gown coat,ガウンコート,Schalkragenmantel,manteau en flanelle
1032,plover cardigan,ちどりのカーディガン,Pepita-Jacke,gilet pied-de-coq
1033,pocket tee,ポケットつきＴシャツ,Brusttaschenshirt,t-⁠shirt à poche
1034,tight-knit sweater,スリムニット,Feinstrickpullover,pull en maille fine
1035,college cardigan,カレッジカーディガン,Campusjacke,gilet campus
1036,front-tie tee,まえむすびＴシャツ,Knotenshirt,t-⁠shirt noué devant
1037,gold-print tee,ゴールドプリントＴシャツ,Goldprintshirt,t-⁠shirt GOLD
1038,text shirt,えいじＴシャツ,Textprintpulli,t-⁠shirt à texte
1039,hawk jacket,タカのスカジャン,Falkenjacke,veste faucon
1040,business suitcoat,スーツ,Business-Jackett,veste sobre
1041,school jacket,がくせいふく,Streber-Schuljacke,veste d'écolier
1042,after-school jacket,ヤンチャながくせいふく,Rowdy-Schuljacke,veste décontractée
1043,poncho coat,ポンチョコート,Ponchomantel,manteau poncho
1044,vampire costume,ヴァンパイアのふく,Vampirkostüm,costume de vampire
1045,bomber-style jacket,ＭＡ‐１,Bomberjacke,bomber
1046,camo bomber-style jacket,めいさいのＭＡ‐１,Tarnfarbenjacke,bomber camouflage
1047,sea hanten shirt,うみのはんてん,Ozean-Hanten-Jacke,chemise hanten de marin
1048,faux-hair sweater,モヘアふうニット,Kunstmohair-Pullover,pull en laine synthétique
1049,space parka,スペースパーカー,Galaxien-Parka,parka nébuleuse
1050,baseball shirt,ベースボールシャツ,Baseballshirt,maillot de base-ball
1051,parka undercoat,パーカーオンコート,Pulli-Mantel-Kombi,manteau sur sweat capuche
1052,workout top,ワークアウトトップス,Workout-Top,débardeur court
1053,mod parka,モッズコート,Mod-Parka,parka simple
1054,tee-parka combo,パーカーオンＴシャツ,Kapuzenpulli-Shirt-Kombi,t-⁠shirt sur sweat à capuche
1055,heart apron,ハートのエプロン,Herzschürze,tablier cœur
1056,prince's tunic,プリンスなふく,Prinzen-Tunika,tunique de prince charmant
1057,safety vest,こうつうゆうどうのふく,Sicherheitsweste,gilet de sécurité
1058,tailcoat,えんびふく,Frack,queue-de-pie
1059,folk shirt,ネイティブニット,Folklorepulli,pull folklorique
1060,football shirt,アメフトシャツ,Footballshirt,maillot de foot américain
1061,skiwear,スキーウェア,Skijacke,veste de ski
1062,animal-print coat,フェイクアニマルコート,Leopardenprintmantel,manteau motif animalier
1063,retro coat,レトロなコート,Vintage-Mantel,manteau vintage
1064,hula top,フラダンスなトップス,Hula-Top,haut de danse hula
1065,groovy tunic,ヒッピーなふく,Hippie-Tunika,tunique hippie
1066,career jacket,キャリアなジャケット,Business-Blazer,veste professionnelle
1067,Chimayo vest,チマヨベスト,Chimayo-Weste,veston Chimayo
1068,kurta,クルタ,Kurta,kurta
1069,pullover jacket,プルオーバーアウター,Schlupfjacke,veste pull
1070,tweed vest,ツイードベスト,Tweedweste,veston en tweed
1071,checkered muffler,チェックマフラーつきセーター,Pullover-Schal-Kombi,pull avec écharpe écossaise
1072,hip-wrap shirt,こしまきシャツ,Grunge-Outfit,chemise sur les hanches
1073,sparkly embroidered tank,ラメししゅうノースリーブ,Lamé-Top,débardeur brodé sequins
1074,pleather trench coat,レザートレンチ,Kunstleder-Trenchcoat,trench-coat en similicuir
1075,reindeer sweater,トナカイセーター,Rentierpulli,pull tricoté rennes
1076,front-tie button-down shirt,まえむすびＹシャツ,Knotenhemd,chemise nouée devant
1077,top coat,ステンカラーコート,Übergangsmantel,surveste
1078,retro sweater,ハイセンスなセーター,Design-Pulli,pull art déco
1079,cowboy shirt,カウボーイシャツ,Cowboyshirt,chemise de cow-boy
1080,sweetheart tank and shirt,ビスチェキャミ,Trägertop-Pulli-Kombi,haut col en cœur
1081,rainbow sweater,レインボーなニット,Regenbogenpulli,pull arc-en-ciel
1082,boa blouson,ボアブルゾン,Fleeceblouson,blouson en polaire
1083,sleeveless tunic,チュニックシャツ,Einfarbentunika,tunique sans manches
1084,coatigan,コーディガン,Strickmantel,manteau cardigan
1085,patchwork coat,パッチワークコート,Patchwork-Mantel,manteau patchwork
1086,earbuds combo,イヤフォンコーデ,Pulli mit Kopfhörern,pull avec écouteurs
1087,colorful striped sweater,マルチボーダーニット,Buntringelpulli,pull à bandes colorées
1088,madras plaid shirt,マドラスチェックシャツ,Madras-Karohemd,chemisette madras
1089,poncho-style sweater,ポンチョふうニット,Ponchopulli,pull style poncho
1090,tunic tank,タンクトップチュニック,Langtop,débardeur tunique
1091,ribbon-straps tank,リボンショルダーキャミ,Schleifchenträgertop,débardeur à bretelles ruban
1092,printed fleece sweater,がらものフリース,Musterfleecepulli,pull en polaire à motifs
1093,detective's coat,めいたんていのふく,Detektivmantel,tenue de détective
1094,baggy shirt,ヨレヨレなシャツ,Schlabbershirt,pull déformé
1095,open-collar shirt,かいきんシャツ,Reverskragenhemd,chemise à revers cranté
1096,meme shirt,ミームなふく,Meme-Shirt,t-⁠shirt chat yeux laser
1097,quilted jacket,キルティングジャケット,Steppjacke,veste matelassée
1098,down ski jacket,スキーダウンジャケット,Thermoskijacke,doudoune de ski
1099,worker's jacket,さぎょうふく,Arbeitsjacke,veste d'usine
1100,pom-pom sweater,ポンポンセーター,Puschel-Pulli,pull à pompons
1101,humble sweater,つつましいニット,Strickweste,gilet sobre
1102,anorak jacket,アノラック,Anorak,anorak
1103,multipurpose vest,たきのうベスト,Multifunktionsweste,gilet multi-poches
1104,snowflake sweater,けっしょうのセーター,Schneeflockenpulli,pull flocon
1105,thread-worn sweater,ダメージニット,Löcherpulli,pull usé à la corde
1106,samurai shirt,かっちゅう,Samurairüstung,cuirasse de samouraï
1107,sleeved apron,うでカバーつきエプロン,Schutzstulpenschürze,tablier avec manches
1108,thief's costume,かいとうのふく,Räuberkostüm,costume de cambrioleur
1109,energetic sweater,すこやかなセーター,Energie-Pulli,pull décontracté
1110,acid-washed jacket,ケミカルデニムジャケット,Bleichjeansjacke,veste délavée
1111,music-fest shirt,ミュージックフェスなふく,Festivalshirt,t-⁠shirt festival de musique
1112,traditional straw coat,みの,Strohmantel,manteau en paille
1113,old-school jacket,レペゼンなふく,Rapperjacke,blouson rappeur
1114,dance-team jacket,ダンスジャージ,Tänzerjacke,veste d'équipe de danse
1115,puffy-sleeve blouse,フリルパフブラウス,Puffärmelbluse,chemisier à manches ballon
1116,holiday sweater,クリスマスセーター,Festtagspulli,pull sapin festif
1117,vest with binoculars,そうがんきょうつきベスト,Weste mit Fernglas,chemise avec jumelles
1118,shirt with camera,カメラつきワイシャツ,Hemd mit Kamera,chemise appareil photo
1119,embroidered tank,ししゅうのキャミソール,Spitzenträgertop,débardeur brodé
1120,sailor-style shirt,セーラーシャツ,Matrosenhemd,chemise à col marin
1121,fischerhemd,フィッシャーヘムト,Fischerhemd,fischerhemd
1122,flashy cardigan,ハデなカーディガン,Imponierjacke,gilet bariolé
1123,sleeveless parka,ノースリーブパーカー,Kapuzenweste,parka sans manches
1124,staff uniform,スタッフのふく,Mitarbeitershirt,t-⁠shirt STAFF
1125,oilskin coat,オイルスキンのジャケット,Öljacke,manteau huilé
1126,guide shirt,あんないがかりのふく,Armbindenhemd,chemise de guide
1127,bulldog jacket,ブルドッグジャージ,Bulldoggenjacke,blouson bulldog
1128,doublet,ダブレット,Kiltjackett,veste avec veston
1129,gingham picnic shirt,ギンガムチェックのシャツ,Karohemd,chemise vichy
1130,sports tank,ビブス,Leichtathletiktrikot,maillot d'athlétisme
1131,axe,オノ,Axt,hache
1132,flimsy axe,ショボいオノ,Wackelaxt,hache rudimentaire
1133,stone axe,いしのオノ,Steinaxt,hache de pierre
1134,golden axe,きんのオノ,Goldaxt,hache dorée
1135,star wand,スターなステッキ,Sternenstab,baguette étoile
1136,hyacinth wand,ヒヤシンスのステッキ,Hyazinthenstab,baguette jacinthe
1137,windflower wand,アネモネのステッキ,Anemonenstab,baguette anémone
1138,tulip wand,チューリップのステッキ,Tulpenstab,baguette tulipe
1139,pansy wand,パンジーのステッキ,Veilchenstab,baguette pensée
1140,cosmos wand,コスモスのステッキ,Cosmeastab,baguette cosmos
1141,rose wand,バラのステッキ,Rosenstab,baguette rose
1142,lily wand,ユリのステッキ,Lilienstab,baguette lys
1143,mums wand,キクのステッキ,Chrysanthemenstab,baguette chrysanthème
1144,wand,ステッキ,Stab,baguette magique
1145,ice wand,こおりのステッキ,Eisstab,baguette glace
1146,shell wand,かいがらのステッキ,Muschelstab,baguette coquillage
1147,tree-branch wand,きのえだのステッキ,Zweigstab,baguette branche
1148,mushroom wand,キノコのステッキ,Pilzstab,baguette champignon
1149,cherry-blossom wand,さくらのステッキ,Kirschblütenstab,baguette fleurs de cerisier
1150,bamboo wand,たけのステッキ,Bambusstab,baguette bambou
1151,golden wand,おうごんのステッキ,Goldstab,baguette d'or
1152,iron wand,てつのステッキ,Eisenstab,baguette en fer
1153,bug wand,ムシのステッキ,Insektenstab,baguette insecte
1154,fish wand,おサカナのステッキ,Fischstab,baguette poisson
1155,Bunny Day wand,イースターなステッキ,Häschentag-Stab,baguette fête des œufs
1156,fishing rod,つりざお,Angel,canne à pêche
1157,flimsy fishing rod,ショボいつりざお,Wackelangel,canne à pêche rudimentaire
1158,fish fishing rod,おサカナつりざお,Fisch-Angel,canne à pêche poisson
1159,colorful fishing rod,カラフルなつりざお,Kinderangel,canne à pêche colorée
1160,outdoorsy fishing rod,アウトドアなつりざお,Profi-Angel,canne à pêche de rando
1161,golden rod,きんのつりざお,Goldangel,canne à pêche dorée
1162,path construction permit,どうろこうじライセンス,Wegelizenz,permis routes
1163,ladder,はしご,Leiter,échelle
1164,flimsy net,ショボいあみ,Wackelkescher,filet rudimentaire
1165,net,あみ,Kescher,filet
1166,star net,スターなあみ,Sternkescher,filet étoilé
1167,colorful net,カラフルなあみ,Kinderkescher,filet coloré
1168,outdoorsy net,アウトドアなあみ,Profi-Kescher,filet de rando
1169,golden net,きんのあみ,Goldkescher,filet doré
1170,shovel,スコップ,Schaufel,pelle
1171,flimsy shovel,ショボいスコップ,Wackelschaufel,pelle rudimentaire
1172,golden shovel,きんのスコップ,Goldschaufel,pelle dorée
1173,outdoorsy shovel,アウトドアなスコップ,Profi-Schaufel,pelle de rando
1174,printed-design shovel,がらものスコップ,Designerschaufel,pelle design
1175,colorful shovel,カラフルなスコップ,Kinderschaufel,pelle colorée
1176,slingshot,パチンコ,Schleuder,lance-pierre
1177,golden slingshot,きんのパチンコ,Goldschleuder,lance-pierre doré
1178,outdoorsy slingshot,アウトドアなパチンコ,Profi-Schleuder,lance-pierre de rando
1179,colorful slingshot,カラフルなパチンコ,Kinderschleuder,lance-pierre coloré
1180,timer,タイマー,Stoppuhr,chrono
1181,watering can,ジョウロ,Gießkanne,arrosoir
1182,flimsy watering can,ショボいジョウロ,Wackelgießkanne,arrosoir rudimentaire
1183,golden watering can,きんのジョウロ,Goldkanne,arrosoir doré
1184,colorful watering can,カラフルなジョウロ,Kinderkanne,arrosoir coloré
1185,elephant watering can,ゾウさんジョウロ,Elefantenkanne,arrosoir éléphant
1186,outdoorsy watering can,アウトドアなジョウロ,Profi-Kanne,arrosoir de rando
1187,vaulting pole,たかとびぼう,Sprungstab,perche
1188,cliff construction permit,がけこうじライセンス,Plateaulizenz,permis falaise
1189,waterscaping permit,かせんこうじライセンス,Gewässerlizenz,permis cours d'eau
1190,Toad parasol,あかいみずたまのかさ,Punkteschirm,parapluie à pois rouge
1191,leaf umbrella,はっぱのかさ,Blättchenschirm,feuillapluie
1192,sunny parasol,ひまわりのかさ,Sommerschirm,parapluie tournesols
1193,snowflake umbrella,スノーフレークのかさ,Schneeflockenschirm,parapluie flocon
1194,hydrangea umbrella,アジサイのかさ,Hortensienschirm,parapluie hortensias
1195,strawberry umbrella,いちごのかさ,Erdbeerschirm,parapluie fraise
1196,kiwi umbrella,キウイのかさ,Kiwischirm,parapluie kiwi
1197,watermelon umbrella,スイカのかさ,Wassermelonenschirm,parapluie pastèque
1198,pineapple umbrella,パイナップルのかさ,Ananasschirm,parapluie ananas
1199,grape umbrella,ぶどうのかさ,Traubenschirm,parapluie raisin
1200,orange umbrella,オレンジのかさ,Orangenschirm,parapluie orange
1201,raindrop umbrella,レイニーなかさ,Tropfenschirm,parapluie motif pluie
1202,mini-flower-print umbrella,こばながらのかさ,Blümchenschirm,parapluie imprimé fleurettes
1203,black lace umbrella,くろいレースのかさ,Spitzenschirm,ombrelle dentelle noire
1204,striped umbrella,ストライプのかさ,Streifenschirm,parapluie à rayures
1205,tartan-check umbrella,タータンチェックのかさ,Schottenmusterschirm,parapluie tartan
1206,patterned vinyl umbrella,ガラいりビニールがさ,Pünktchen-Plastikschirm,parapluie vinyle à motifs
